id,value,display_value,einschulung,impfpass,immun
Bielefeld,94,"93,6 %",3.059,2.872,2.688
Bochum,93,93 %,2.744,2.496,2.322
Bonn,95,"95,3 %",3.027,2.534,2.415
Borken,94,"93,9 %",3.617,3.327,3.124
Bottrop,97,97 %,909,875,849
Coesfeld,94,"93,6 %",2.000,1.939,1.814
Dortmund,93,"93,2 %",4.299,3.792,3.534
Duisburg,96,"95,6 %",4.281,4.115,3.933
Düren,96,96 %,2.389,2.121,2.037
Düsseldorf,96,"95,7 %",4.290,3.910,3.740
Ennepe-Ruhr-Kreis,88,"88,2 %",2.417,2.126,1.876
Essen,95,"94,6 %",4.818,4.450,4.208
Euskirchen,93,"93,3 %",1.767,1.642,1.532
Gelsenkirchen,95,"95,1 %",2.188,1.946,1.850
Gütersloh,95,95 %,3.415,3.157,3.000
Hagen,95,"95,3 %",1.540,1.502,1.432
Hamm,93,"93,1 %",1.598,1.503,1.400
Heinsberg,97,"97,2 %",2.138,2.041,1.983
Herford,96,"95,8 %",2.163,1.980,1.897
Herne,96,"96,5 %",1.224,1.102,1.063
Hochsauerlandkreis,92,"92,3 %",2.230,2.056,1.898
Höxter,95,"94,9 %",1.243,1.162,1.103
Kleve,96,"96,2 %",2.579,2.415,2.323
Köln,93,"93,4 %",9.503,8.622,8.054
Krefeld,96,"95,9 %",1.924,1.764,1.691
Leverkusen,96,"95,8 %",1.861,1.747,1.673
Lippe,95,"95,2 %",3.271,2.979,2.836
Märkischer Kreis,95,"95,1 %",3.535,3.182,3.027
Mettmann,95,"95,3 %",4.274,4.112,3.920
Minden-Lübbecke,92,"92,4 %",2.884,2.664,2.461
Mönchengladbach,96,"95,6 %",2.070,1.762,1.684
Mülheim an der Ruhr,97,"97,1 %",1.366,1.283,1.246
Münster,90,"90,1 %",2.422,2.340,2.108
Oberbergischer Kreis,93,"92,6 %",2.558,2.396,2.219
Oberhausen,95,"95,3 %",1.644,1.520,1.449
Olpe,96,"96,3 %",1.263,1.215,1.170
Paderborn,97,"97,3 %",2.631,2.542,2.474
Recklinghausen,96,96 %,5.024,4.753,4.563
Remscheid,94,"94,1 %",914,843,793
Rhein-Erft-Kreis,96,"96,5 %",4.306,3.915,3.777
Rhein-Kreis Neuss,97,"97,2 %",4.011,3.741,3.636
Rhein-Sieg-Kreis,93,"92,9 %",5.787,5.283,4.910
Rheinisch-Bergischer Kreis,90,"89,8 %",2.542,2.344,2.106
Siegen-Wittgenstein,95,"95,1 %",2.336,2.161,2.056
Soest,96,"96,2 %",2.438,2.339,2.250
Solingen,95,95 %,1.422,1.300,1.235
Städteregion Aachen,95,"94,7 %",4715,4280,4055
Steinfurt,95,"95,3 %",4.265,3.943,3.758
Unna,94,"94,2 %",3.440,3.288,3.098
Viersen,96,"96,3 %",2.516,2.327,2.240
Warendorf,96,96 %,2.515,2.366,2.271
Wesel,96,"96,4 %",3.793,3.534,3.407
Wuppertal,93,"92,6 %",2.804,2.611,2.419
